Symbol,Date,Open,High,Low,Close,Direction,Atr,IndicatorName,IndicatorSetting,IndicatorDirection,IndicatorSignal,
EURUSD,2020-04-13 00:00:00,1.09474,1.09670,1.08919,1.09061,-1,0.01176,Sma,7,1,0,
EURUSD,2020-04-10 00:00:00,1.09287,1.09512,1.09168,1.09307,1,0.01243,Sma,7,1,0,
EURUSD,2020-04-09 00:00:00,1.08538,1.09512,1.08404,1.09283,1,0.01356,Sma,7,1,1,
EURUSD,2020-04-08 00:00:00,1.08905,1.09013,1.08293,1.08538,-1,0.01415,Sma,7,-1,0,
EURUSD,2020-04-07 00:00:00,1.07909,1.09249,1.07828,1.08905,1,0.01596,Sma,7,-1,0,
EURUSD,2020-04-06 00:00:00,1.08074,1.08347,1.07677,1.07909,-1,0.01669,Sma,7,-1,0,
EURUSD,2020-04-03 00:00:00,1.08540,1.08616,1.07721,1.08006,-1,0.01789,Sma,7,-1,0,
EURUSD,2020-04-02 00:00:00,1.09609,1.09664,1.08200,1.08550,-1,0.01847,Sma,7,-1,0,
EURUSD,2020-04-01 00:00:00,1.10286,1.10368,1.09021,1.09609,-1,0.01861,Sma,7,-1,1,
EURUSD,2020-03-31 00:00:00,1.10426,1.10499,1.09259,1.10286,-1,0.01965,Sma,7,1,0,
EURUSD,2020-03-30 00:00:00,1.11150,1.11437,1.10091,1.10426,-1,0.01954,Sma,7,1,0,
EURUSD,2020-03-27 00:00:00,1.10311,1.11458,1.09528,1.11365,1,0.01989,Sma,7,1,0,
EURUSD,2020-03-26 00:00:00,1.08801,1.10580,1.08688,1.10311,1,0.02002,Sma,7,1,0,
EURUSD,2020-03-25 00:00:00,1.07861,1.08933,1.07594,1.08801,1,0.01970,Sma,7,1,1,
EURUSD,2020-03-24 00:00:00,1.07218,1.08873,1.07187,1.07861,1,0.01964,Sma,7,-1,0,
EURUSD,2020-03-23 00:00:00,1.07027,1.08273,1.06346,1.07218,1,0.01909,Sma,7,-1,0,
EURUSD,2020-03-20 00:00:00,1.06895,1.08300,1.06365,1.06914,1,0.01856,Sma,7,-1,0,
EURUSD,2020-03-19 00:00:00,1.09104,1.09800,1.06541,1.06901,-1,0.01833,Sma,7,-1,0,
EURUSD,2020-03-18 00:00:00,1.09957,1.10444,1.08010,1.09108,-1,0.01673,Sma,7,-1,0,
EURUSD,2020-03-17 00:00:00,1.11790,1.11884,1.09538,1.09957,-1,0.01594,Sma,7,-1,0,
EURUSD,2020-03-16 00:00:00,1.10642,1.12358,1.10642,1.11790,1,0.01464,Sma,7,-1,0,
EURUSD,2020-03-13 00:00:00,1.11842,1.12203,1.10543,1.11004,-1,0.01385,Sma,7,-1,0,
EURUSD,2020-03-12 00:00:00,1.12681,1.13330,1.10537,1.11842,-1,0.01314,Sma,7,-1,1,
EURUSD,2020-03-11 00:00:00,1.12779,1.13660,1.12568,1.12681,-1,0.01173,Sma,7,1,0,
EURUSD,2020-03-10 00:00:00,1.14350,1.14574,1.12741,1.12779,-1,0.01126,Sma,7,1,0,
